id,Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
23,Female,29.740496,1.502609,77.929204,yes,yes,2.0,1.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Obesity_Type_I
24,Male,18.0,1.753321,52.058335,yes,yes,2.0,3.0,Sometimes,no,2.072194,no,0.680464,1.258881,no,Public_Transportation,Insufficient_Weight
25,Male,41.318302,1.853223,96.078462,yes,yes,2.0,3.0,Sometimes,no,3.0,no,2.0,0.0,Frequently,Automobile,Obesity_Type_I
26,Female,26.0,1.611462,111.950113,yes,yes,3.0,3.0,Sometimes,no,2.609052,no,0.0,0.079334,Sometimes,Public_Transportation,Obesity_Type_III
27,Female,26.0,1.682253,111.216192,yes,yes,3.0,3.0,Sometimes,no,2.48707,no,0.0,0.250502,Sometimes,Public_Transportation,Obesity_Type_III
28,Female,20.0,1.55,45.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,no,Walking,Normal_Weight
29,Female,23.0,1.55,80.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_II
30,Male,23.118327,1.851123,119.841446,yes,yes,2.203962,2.954446,Sometimes,no,2.854161,no,1.19102,0.0,Sometimes,Public_Transportation,Obesity_Type_II
31,Male,23.0,1.7,97.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,3.0,0.0,no,Public_Transportation,Obesity_Type_I
32,Female,26.0,1.641918,111.949972,yes,yes,3.0,3.0,Sometimes,no,2.632224,no,0.0,0.232858,Sometimes,Public_Transportation,Obesity_Type_III
33,Male,26.947786,1.717601,86.464843,yes,yes,2.971588,3.0,Sometimes,no,1.726109,no,0.0,0.453649,Sometimes,Automobile,Overweight_Level_II
34,Male,29.883021,1.75,119.117122,yes,yes,2.668949,3.0,Sometimes,no,2.939492,no,1.999836,0.831412,Sometimes,Automobile,Obesity_Type_II
35,Female,18.634286,1.692646,79.697278,no,yes,1.98989905,1.893811,Sometimes,no,1.0,no,1.0,0.704978,Sometimes,Public_Transportation,Overweight_Level_I
36,Male,20.0,1.7,80.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
37,Female,21.016665,1.75655,133.800129,yes,yes,3.0,3.0,Sometimes,no,2.869234,no,1.465931,0.929356,Sometimes,Public_Transportation,Obesity_Type_III
38,Female,27.474245,1.706912,78.041338,yes,no,2.0,3.0,Sometimes,no,1.0,no,0.82666,0.0,no,Public_Transportation,Overweight_Level_II
39,Female,22.126325,1.647811,49.603807,yes,yes,2.417635,3.998618,Frequently,no,1.438398,no,2.0,1.0,no,Public_Transportation,Insufficient_Weight
40,Female,21.0,1.57,45.0,no,yes,3.0,3.0,Frequently,no,3.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
41,Male,21.0,1.79,105.0,yes,yes,2.0,1.703299,Sometimes,no,3.0,no,1.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
42,Male,21.81119,1.657496,85.0,yes,yes,2.0,3.0,Sometimes,no,2.371015,no,1.0,0.0,no,Public_Transportation,Obesity_Type_I
43,Female,25.982261,1.678201,107.378702,yes,yes,3.0,3.0,Sometimes,no,1.509734,no,0.035928,0.868788,Sometimes,Public_Transportation,Obesity_Type_III
44,Male,19.0,1.74,78.0,yes,no,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_II
45,Female,21.0,1.55,68.0,no,yes,2.0,3.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_I
46,Male,30.686701,1.835271,120.998266,yes,yes,2.219186,2.937989,Sometimes,no,2.109697,no,1.628637,0.0,no,Public_Transportation,Obesity_Type_II
47,Female,26.0,1.62495,111.946321,yes,yes,3.0,3.0,Sometimes,no,2.770125,no,0.0,0.09776,Sometimes,Public_Transportation,Obesity_Type_III
48,Female,37.0,1.5,80.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Obesity_Type_I
49,Female,26.0,1.66494,111.942544,yes,yes,3.0,3.0,Sometimes,no,2.78678,no,0.0,0.425473,Sometimes,Public_Transportation,Obesity_Type_III
50,Male,22.906886,1.84842,121.04172,yes,yes,2.919526,2.996444,Sometimes,no,1.937674,no,1.427413,0.0,Sometimes,Public_Transportation,Obesity_Type_II
51,Male,21.0,1.62,70.0,no,no,2.0,1.0,no,no,3.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_I
52,Female,19.799054,1.59611,42.848033,no,yes,3.0,2.581015,Frequently,no,1.163264,no,0.544784,0.0,Sometimes,Public_Transportation,Insufficient_Weight
53,Female,21.0,1.62,69.0,yes,no,2.0,3.0,Frequently,no,1.0,no,1.0,2.0,no,Public_Transportation,Overweight_Level_I
54,Female,25.950898,1.643332,110.676343,yes,yes,3.0,3.0,Sometimes,no,1.7305,no,0.0,0.773807,Sometimes,Public_Transportation,Obesity_Type_III
55,Male,18.0,1.74379,54.835576,yes,yes,2.263245,2.473913,Sometimes,no,2.721769,no,0.282063,0.0,no,Public_Transportation,Insufficient_Weight
56,Male,55.272573,1.7,80.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.979701,1.544357,no,Automobile,Overweight_Level_II
57,Female,18.0,1.7,78.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
58,Female,21.0,1.56,63.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
59,Female,20.225396,1.595165,44.594588,no,yes,3.0,3.0,Frequently,no,2.444125,yes,1.190465,0.0,no,Public_Transportation,Insufficient_Weight
60,Female,22.200779,1.700216,50.173425,yes,yes,2.649406,3.0,Frequently,no,2.649459,no,1.0,0.0,no,Public_Transportation,Insufficient_Weight
61,Male,22.77789,1.709731,97.350366,yes,yes,2.0,1.437959,Sometimes,no,2.0,no,0.463891,1.239038,Sometimes,Public_Transportation,Obesity_Type_I
62,Female,26.0,1.611462,111.939671,yes,yes,3.0,3.0,Sometimes,no,2.621976,no,0.0,0.479221,Sometimes,Public_Transportation,Obesity_Type_III
63,Male,22.0,1.8,65.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight
64,Male,23.454558,1.763215,117.384745,yes,yes,2.0,2.989791,Sometimes,no,2.0,no,1.818052,0.631217,Sometimes,Public_Transportation,Obesity_Type_II
65,Female,18.0,1.63,50.0,no,no,3.0,4.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
66,Female,22.884722,1.622241,82.0,yes,yes,1.754401,1.0,Sometimes,no,2.165048,no,0.0,0.301909,Sometimes,Public_Transportation,Obesity_Type_I
67,Male,17.0,1.8,91.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
68,Male,29.881301,1.834986,85.312639,yes,yes,2.0,3.0,Sometimes,no,2.111908,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
69,Male,22.518787,1.699793,81.718232,yes,yes,2.0,2.853676,Sometimes,no,1.746197,no,0.692123,0.0,Sometimes,Public_Transportation,Overweight_Level_II
70,Male,23.0,1.8,95.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
71,Female,21.008051,1.790172,88.126544,yes,yes,3.0,1.104642,Sometimes,no,3.0,no,1.360994,0.0,no,Public_Transportation,Obesity_Type_I
72,Female,18.367481,1.74647,133.676663,yes,yes,3.0,3.0,Sometimes,no,2.868167,no,1.501754,0.62535,Sometimes,Public_Transportation,Obesity_Type_III
73,Male,24.041043,1.7,83.016968,yes,yes,2.0,2.983297,Sometimes,no,2.0,no,0.0,0.453404,Sometimes,Public_Transportation,Overweight_Level_II
74,Female,25.976209,1.632896,104.94582,yes,yes,3.0,3.0,Sometimes,no,1.619305,no,0.083675,0.579541,Sometimes,Public_Transportation,Obesity_Type_III
75,Female,18.988581,1.792998,50.0,yes,yes,3.0,3.362758,Sometimes,no,1.0,no,1.689525,0.0,Sometimes,Public_Transportation,Insufficient_Weight
76,Female,21.0,1.63,70.0,no,yes,3.0,1.0,no,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_I
77,Male,34.281681,1.752863,87.861431,yes,yes,2.303656,3.0,Sometimes,no,3.0,no,2.052896,0.939726,no,Automobile,Overweight_Level_II
78,Male,21.0,1.6,67.0,yes,yes,2.0,3.0,Sometimes,no,1.0,yes,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
79,Male,22.0,1.76,105.0,no,yes,3.0,1.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
80,Female,38.098745,1.560215,80.0,yes,yes,2.020785,1.169173,Sometimes,no,1.872673,no,1.979355,0.0,Sometimes,Automobile,Obesity_Type_I
81,Male,25.380557,1.830317,117.75701,yes,yes,2.068834,3.0,Sometimes,no,2.112032,no,1.076248,0.038253,Sometimes,Public_Transportation,Obesity_Type_II
82,Male,23.0,1.7,50.0,no,yes,2.0,3.0,Frequently,no,2.721356,no,1.0,0.0,no,Public_Transportation,Insufficient_Weight
83,Male,38.0,1.75,75.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,2.0,0.0,Sometimes,Automobile,Overweight_Level_I
84,Male,37.207082,1.770663,117.368716,yes,yes,2.0,3.0,Sometimes,no,1.774778,no,0.631565,0.0,Sometimes,Automobile,Obesity_Type_I
85,Female,36.769646,1.681842,83.3258,yes,yes,2.689929,3.0,Sometimes,no,2.515765,no,0.917014,0.0,no,Automobile,Overweight_Level_II
86,Female,26.0,1.641098,111.946655,yes,yes,3.0,3.0,Sometimes,no,2.634342,no,0.0,0.09776,Sometimes,Public_Transportation,Obesity_Type_III
87,Male,20.406871,1.828276,120.872294,yes,yes,2.979383,3.0,Sometimes,no,1.399629,no,0.740633,0.764452,Sometimes,Public_Transportation,Obesity_Type_II
88,Female,26.0,1.640741,111.933152,yes,yes,3.0,3.0,Sometimes,no,2.634342,no,0.0,0.15171,Sometimes,Public_Transportation,Obesity_Type_III
89,Male,25.954995,1.77151,114.133149,yes,yes,2.225731,3.0,Sometimes,no,2.154326,no,1.046463,0.737226,Sometimes,Public_Transportation,Obesity_Type_II
90,Female,43.604901,1.698626,77.355417,yes,yes,2.0,3.0,Sometimes,no,1.853991,no,1.0,0.0,Sometimes,Automobile,Obesity_Type_I
91,Female,26.0,1.62456,110.400847,yes,yes,3.0,3.0,Sometimes,no,2.695094,no,0.0,0.479221,Sometimes,Public_Transportation,Obesity_Type_III
92,Female,16.38009,1.713348,65.0,yes,yes,2.843456,1.411808,Sometimes,no,1.130079,yes,0.92635,1.313363,Sometimes,Public_Transportation,Overweight_Level_I
93,Female,18.0,1.7,50.0,yes,yes,1.0,3.0,Frequently,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Insufficient_Weight
94,Male,25.540865,1.783901,114.480696,yes,yes,2.312528,2.98212,Sometimes,no,2.0,no,1.628637,0.0,Sometimes,Public_Transportation,Obesity_Type_II
95,Male,18.0,1.709561,75.0,yes,yes,2.0,3.0,Sometimes,no,1.636326,no,1.0,0.456462,no,Public_Transportation,Overweight_Level_I
96,Male,25.140074,1.824901,120.151967,yes,yes,2.962415,3.0,Sometimes,no,2.155926,no,1.350001,0.0,Sometimes,Public_Transportation,Obesity_Type_II
97,Male,19.0,1.62,70.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
98,Female,26.0,1.640741,110.818757,yes,yes,3.0,3.0,Sometimes,no,2.70485,no,0.0,0.444532,Sometimes,Public_Transportation,Obesity_Type_III
99,Male,18.0,1.74,95.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,2.0,no,Public_Transportation,Obesity_Type_I
100,Female,38.0,1.5,60.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,Sometimes,Automobile,Overweight_Level_I
101,Male,18.0,1.8,50.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
102,Male,30.605225,1.835381,122.813033,yes,yes,2.945967,3.0,Sometimes,no,1.94609,no,0.093418,0.0,Sometimes,Public_Transportation,Obesity_Type_II
103,Male,32.0,1.65,90.0,yes,yes,2.0,1.0,Sometimes,no,3.0,no,1.0,0.0,no,Automobile,Obesity_Type_I
104,Female,26.0,1.624134,110.008636,yes,yes,3.0,3.0,Sometimes,no,2.70485,no,0.0,0.668172,Sometimes,Public_Transportation,Obesity_Type_III
105,Female,25.955014,1.603404,102.363149,yes,yes,3.0,3.0,Sometimes,no,1.050564,no,0.025787,0.546345,Sometimes,Public_Transportation,Obesity_Type_III
106,Female,26.0,1.621233,111.267334,yes,yes,3.0,3.0,Sometimes,no,2.609188,no,0.0,0.25115,Sometimes,Public_Transportation,Obesity_Type_III
107,Male,17.0,1.7,56.0,no,yes,2.0,3.0,Always,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
108,Female,20.394082,1.751688,137.832414,yes,yes,3.0,3.0,Sometimes,no,2.839069,no,1.465931,0.835771,Sometimes,Public_Transportation,Obesity_Type_III
109,Male,24.82929,1.75015,112.409191,yes,yes,2.108638,3.0,Sometimes,no,2.0,no,0.769709,0.0,no,Public_Transportation,Obesity_Type_II
110,Male,22.0,1.8,95.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I
111,Male,20.0,1.7,72.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,no,Public_Transportation,Normal_Weight
112,Female,18.0,1.63,59.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,no,Automobile,Normal_Weight
113,Female,18.0,1.65,51.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
114,Male,18.0,1.76,57.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.0,2.0,no,Public_Transportation,Insufficient_Weight
115,Male,32.0,1.74,76.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Automobile,Overweight_Level_I
116,Male,19.623574,1.797523,108.316462,yes,yes,2.0,1.81698,Sometimes,no,2.430918,no,1.0,1.425852,Sometimes,Public_Transportation,Obesity_Type_I
117,Female,26.0,1.627567,110.92217,yes,yes,3.0,3.0,Sometimes,no,2.673754,no,0.0,0.278962,Sometimes,Public_Transportation,Obesity_Type_III
118,Female,18.94093,1.721057,133.03441,yes,yes,3.0,3.0,Sometimes,no,2.839069,no,1.68249,0.62535,Sometimes,Public_Transportation,Obesity_Type_III
119,Male,23.0,1.82,58.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
120,Female,38.0,1.74,86.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,2.0,0.0,no,Automobile,Overweight_Level_II
121,Female,26.0,1.632983,111.919155,yes,yes,3.0,3.0,Sometimes,no,2.715572,no,0.0,0.094213,Sometimes,Public_Transportation,Obesity_Type_III
122,Female,21.656907,1.633794,68.06609,yes,yes,1.826885,3.0,no,no,1.837184,no,0.529259,0.094213,Sometimes,Public_Transportation,Overweight_Level_I
123,Female,31.327609,1.672959,72.713611,yes,yes,2.0,3.762778,Sometimes,no,2.0,no,0.6081,1.0,Sometimes,Automobile,Overweight_Level_II
124,Male,22.771612,1.769328,96.875502,yes,yes,2.0,2.976211,Sometimes,no,2.0,no,0.0,1.151166,no,Public_Transportation,Overweight_Level_II
125,Female,19.86997,1.520997,42.0,no,no,3.0,1.0,Frequently,no,1.527036,yes,0.0,0.860497,Sometimes,Public_Transportation,Insufficient_Weight
126,Male,18.0,1.82,71.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,2.0,1.0,no,Automobile,Normal_Weight
127,Female,37.205173,1.667469,80.993213,yes,yes,2.0,3.0,Sometimes,no,1.651548,no,0.0,0.790967,Sometimes,Automobile,Obesity_Type_I
128,Female,21.0,1.63,66.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Normal_Weight
129,Male,24.739421,1.872517,121.244969,yes,yes,2.200588,2.993623,Sometimes,no,1.54249,no,0.978815,0.0,Sometimes,Public_Transportation,Obesity_Type_II
130,Male,19.478533,1.844218,61.373868,yes,yes,2.0,3.994588,Sometimes,no,2.453384,no,2.511157,0.394533,Sometimes,Automobile,Insufficient_Weight
131,Female,19.637947,1.52,42.0,no,yes,2.598051,3.0,Frequently,no,1.613928,yes,1.94907,0.426643,Sometimes,Public_Transportation,Insufficient_Weight
132,Male,23.826684,1.753327,120.921535,yes,yes,2.984425,3.0,Sometimes,no,2.080968,no,1.097905,0.196952,Sometimes,Public_Transportation,Obesity_Type_II
133,Female,25.540865,1.623812,109.900472,yes,yes,3.0,3.0,Sometimes,no,1.436616,no,0.0,0.628059,Sometimes,Public_Transportation,Obesity_Type_III
134,Male,18.0,1.78,108.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
135,Female,21.0,1.622999,68.981403,yes,yes,1.0,3.0,no,no,2.197732,no,0.827506,0.155278,Sometimes,Public_Transportation,Overweight_Level_I
136,Female,21.0,1.74,75.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,2.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
137,Male,21.0,1.69,75.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
138,Female,21.012569,1.7,78.88036,yes,yes,2.0,1.0,Sometimes,no,2.0,no,0.614466,1.735328,Frequently,Public_Transportation,Overweight_Level_I
139,Female,19.633898,1.5,71.602622,yes,no,3.0,3.087544,Sometimes,no,2.0,no,1.079524,1.0,no,Public_Transportation,Overweight_Level_II
140,Female,21.28253,1.818641,151.217135,yes,yes,3.0,3.0,Sometimes,no,2.304716,no,1.982379,0.760091,Sometimes,Public_Transportation,Obesity_Type_III
141,Male,22.0,1.62,70.0,no,yes,2.0,1.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
142,Male,17.0,1.69,60.0,no,yes,1.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
143,Male,20.323767,1.7921,105.025808,yes,yes,2.0,3.0,Sometimes,no,3.0,no,2.70825,1.59405,Sometimes,Public_Transportation,Obesity_Type_I
144,Male,25.136116,1.773664,114.163921,yes,yes,1.387489,3.0,Sometimes,no,2.041462,no,1.482411,0.092736,Sometimes,Public_Transportation,Obesity_Type_II
145,Male,20.0,1.85,91.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
146,Male,20.986834,1.657132,103.180918,yes,yes,2.76533,3.0,Sometimes,no,1.972551,no,0.525002,1.561272,no,Public_Transportation,Obesity_Type_I
147,Male,23.0,1.68,60.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight
148,Female,21.682636,1.71978,133.662583,yes,yes,3.0,3.0,Sometimes,no,2.825629,no,1.522399,0.928972,Sometimes,Public_Transportation,Obesity_Type_III
149,Female,21.0,1.65,62.0,no,yes,2.0,3.0,Sometimes,no,1.0,yes,1.0,0.0,no,Public_Transportation,Normal_Weight
150,Male,24.473062,1.774647,120.151967,yes,no,2.962415,3.0,Sometimes,no,2.364208,no,1.172641,0.062167,Sometimes,Public_Transportation,Obesity_Type_II
151,Male,24.0,1.8,100.5,yes,yes,2.0,1.0,Sometimes,no,1.0,no,1.0,1.0,no,Public_Transportation,Obesity_Type_II
152,Female,24.0,1.6,48.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
153,Male,21.0,1.7,65.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
154,Female,21.0,1.68,77.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_II
155,Female,18.0,1.69,90.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
156,Male,30.0,1.93,120.0,yes,no,2.0,3.0,Sometimes,yes,3.0,no,0.0,1.0,Sometimes,Automobile,Obesity_Type_II
157,Male,30.255744,1.773259,120.0,yes,yes,2.941627,3.0,Sometimes,no,2.0,no,0.884935,1.331527,Sometimes,Automobile,Obesity_Type_II
158,Female,26.0,1.643892,111.886611,yes,yes,3.0,3.0,Sometimes,no,2.893117,no,0.0,0.09776,Sometimes,Public_Transportation,Obesity_Type_III
159,Male,23.0,1.8,66.5,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,2.0,no,Public_Transportation,Normal_Weight
160,Male,18.0,1.7,70.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
161,Male,23.0,1.698626,75.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
162,Female,30.0,1.56,53.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,no,Public_Transportation,Normal_Weight
163,Female,23.803904,1.68108,80.0,yes,yes,2.0,2.372311,Sometimes,no,1.979833,no,0.0,1.946173,Sometimes,Public_Transportation,Overweight_Level_II
164,Female,21.0,1.6,70.0,yes,yes,3.0,1.0,Sometimes,no,3.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
165,Male,24.63474,1.764166,120.021161,yes,yes,2.490776,3.0,Sometimes,no,1.830614,no,1.584716,0.077818,Sometimes,Public_Transportation,Obesity_Type_II
166,Female,25.907833,1.607182,102.874549,yes,yes,2.0,3.0,Sometimes,no,1.000536,no,0.00342,1.0739,no,Public_Transportation,Obesity_Type_I
167,Female,18.0,1.7,50.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
168,Female,17.0,1.71,65.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_I
169,Female,18.024853,1.68,90.0,yes,yes,2.0,3.0,Sometimes,no,1.49681,no,0.874643,0.0,Sometimes,Public_Transportation,Obesity_Type_I
170,Male,27.0,1.7,78.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.0,1.0,Frequently,Automobile,Overweight_Level_II
171,Female,21.0,1.7,62.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight
172,Male,17.758315,1.83412,89.994351,yes,yes,2.801514,2.376374,Sometimes,no,2.0,no,0.0,0.127879,Sometimes,Public_Transportation,Overweight_Level_I
173,Male,22.977357,1.812259,105.359688,yes,yes,2.0,2.581015,Sometimes,no,2.514872,no,2.091862,1.80931,Sometimes,Public_Transportation,Obesity_Type_I
174,Female,19.955257,1.556789,62.339003,no,yes,2.336044,2.884479,Sometimes,no,1.172186,yes,0.0,1.944675,Sometimes,Public_Transportation,Overweight_Level_I
175,Male,26.050109,1.819535,121.04172,yes,yes,2.636719,2.994198,Sometimes,no,1.859089,no,1.976341,0.0,Sometimes,Public_Transportation,Obesity_Type_II
176,Male,17.038222,1.719153,99.530971,yes,yes,2.0,2.812283,Sometimes,no,2.0,no,0.684739,0.783336,no,Public_Transportation,Obesity_Type_I
